id,Airline,Source,Destination,Date_of_Journey,Dep_Time,Duration,Total_Stops,Additional_Info,Price_in_Euro
4324,Jet Airways,Delhi,Cochin,9/06/2019,14:35,13h 50m,2 stops,No info,147.136
4325,Multiple carriers,Delhi,Cochin,15/05/2019,10:00,9h,1 stop,No info,112.167
4326,Multiple carriers,Delhi,Cochin,18/05/2019,11:25,7h 50m,1 stop,No info,87.967
4327,Air India,Delhi,Cochin,3/04/2019,17:20,16h 5m,1 stop,No info,56.287
4328,Jet Airways,Delhi,Cochin,9/05/2019,10:00,9h,1 stop,In-flight meal not included,136.103
4329,Multiple carriers,Delhi,Cochin,9/06/2019,12:50,12h 40m,1 stop,No info,74.745
4330,Jet Airways,Banglore,Delhi,27/06/2019,18:55,3h 5m,non-stop,In-flight meal not included,79.519
4331,Air India,Mumbai,Hyderabad,24/03/2019,13:55,1h 30m,non-stop,No info,28.325
4332,Air India,Kolkata,Banglore,24/05/2019,09:50,11h 15m,1 stop,No info,84.282
4333,Air India,Kolkata,Banglore,18/05/2019,09:25,12h 25m,1 stop,No info,92.026
4334,Jet Airways,Kolkata,Banglore,18/05/2019,08:25,12h 20m,1 stop,In-flight meal not included,119.284
4335,IndiGo,Chennai,Kolkata,6/06/2019,05:15,2h 25m,non-stop,No info,38.94
4336,Multiple carriers,Delhi,Cochin,3/03/2019,10:00,15h 35m,1 stop,No info,185.493
4337,Air India,Banglore,Delhi,3/05/2019,21:05,2h 50m,non-stop,No info,67.331
4338,IndiGo,Banglore,New Delhi,09/03/2019,06:25,5h 5m,1 stop,No info,92.774
4339,Jet Airways,Kolkata,Banglore,21/05/2019,17:00,6h 35m,1 stop,No info,155.661
4340,Jet Airways,Delhi,Cochin,6/06/2019,05:30,7h 5m,2 stops,No info,158.851
4341,GoAir,Banglore,Delhi,1/06/2019,11:40,2h 50m,non-stop,No info,42.878
4342,Jet Airways,Delhi,Cochin,9/04/2019,23:05,13h 30m,2 stops,No info,104.313
4343,Air Asia,Banglore,Delhi,12/04/2019,04:55,2h 50m,non-stop,No info,47.102
4344,Jet Airways,Banglore,Delhi,3/06/2019,17:45,3h,non-stop,In-flight meal not included,71.258
4345,Jet Airways,Delhi,Cochin,6/03/2019,19:10,33h 15m,2 stops,No info,184.899
4346,Jet Airways,Delhi,Cochin,9/05/2019,13:25,23h 10m,2 stops,No info,183.744
4347,GoAir,Banglore,Delhi,24/06/2019,07:45,2h 55m,non-stop,No info,42.878
4348,Jet Airways,Banglore,New Delhi,12/03/2019,05:50,6h 30m,1 stop,No info,124.267
4349,IndiGo,Kolkata,Banglore,27/05/2019,14:25,2h 30m,non-stop,No info,57.464
4350,IndiGo,Banglore,Delhi,6/04/2019,18:55,2h 55m,non-stop,No info,53.053
4351,IndiGo,Delhi,Cochin,3/03/2019,04:45,10h 45m,1 stop,No info,163.581
4352,Air India,Delhi,Cochin,27/06/2019,09:45,23h 40m,1 stop,No info,82.28
4353,IndiGo,Kolkata,Banglore,3/05/2019,11:30,2h 35m,non-stop,No info,57.464
4354,Multiple carriers,Delhi,Cochin,24/04/2019,07:10,9h,1 stop,In-flight meal not included,67.023
4355,IndiGo,Mumbai,Hyderabad,27/06/2019,19:05,1h 30m,non-stop,No info,30.294
4356,IndiGo,Mumbai,Hyderabad,1/06/2019,20:05,1h 35m,non-stop,No info,24.497
4357,Jet Airways,Kolkata,Banglore,6/05/2019,06:30,11h 45m,1 stop,No info,162.591
4358,GoAir,Banglore,Delhi,1/05/2019,07:45,2h 55m,non-stop,No info,42.878
4359,Vistara,Kolkata,Banglore,24/05/2019,07:10,15h 30m,1 stop,No info,103.367
4360,Vistara,Kolkata,Banglore,12/06/2019,07:10,27h 35m,1 stop,No info,92.972
4361,IndiGo,Banglore,Delhi,3/04/2019,23:30,2h 50m,non-stop,No info,50.501
4362,IndiGo,Kolkata,Banglore,1/04/2019,21:00,5h 15m,1 stop,No info,65.23
4363,Air India,Kolkata,Banglore,6/05/2019,05:50,14h 35m,2 stops,No info,120.901
4364,SpiceJet,Kolkata,Banglore,3/03/2019,06:55,2h 40m,non-stop,No info,50.842
4365,Jet Airways,Delhi,Cochin,6/06/2019,11:30,7h 30m,1 stop,No info,161.854
4366,IndiGo,Banglore,Delhi,18/06/2019,08:30,2h 50m,non-stop,No info,53.053
4367,Jet Airways,Mumbai,Hyderabad,18/03/2019,02:55,1h 30m,non-stop,In-flight meal not included,24.508
4368,Jet Airways,Kolkata,Banglore,6/05/2019,17:00,6h 35m,1 stop,In-flight meal not included,117.733
4369,Vistara,Banglore,Delhi,3/05/2019,17:00,2h 35m,non-stop,No info,61.743
4370,Jet Airways,Kolkata,Banglore,24/03/2019,06:30,11h 40m,1 stop,No info,151.349
4371,IndiGo,Banglore,Delhi,12/06/2019,13:00,2h 50m,non-stop,No info,43.373
4372,IndiGo,Banglore,New Delhi,21/03/2019,00:40,2h 45m,non-stop,No info,54.384
4373,Jet Airways,Delhi,Cochin,24/06/2019,14:00,5h,1 stop,In-flight meal not included,112.882
4374,SpiceJet,Kolkata,Banglore,6/06/2019,11:35,7h 15m,1 stop,No info,93.269
4375,IndiGo,Delhi,Cochin,3/06/2019,07:35,8h 35m,1 stop,No info,82.654
4376,Air India,Delhi,Cochin,6/05/2019,14:10,3h,non-stop,No info,76.274
4377,Jet Airways,Kolkata,Banglore,12/05/2019,18:55,17h 5m,1 stop,In-flight meal not included,106.293
4378,Multiple carriers,Delhi,Cochin,21/03/2019,10:00,11h,1 stop,In-flight meal not included,88.935
4379,Vistara,Delhi,Cochin,9/03/2019,06:00,3h 10m,non-stop,No info,79.926
4380,IndiGo,Delhi,Cochin,3/06/2019,17:05,5h 20m,1 stop,No info,71.423
4381,Jet Airways,Delhi,Cochin,27/06/2019,10:00,9h,1 stop,No info,161.854
4382,Multiple carriers,Delhi,Cochin,21/05/2019,19:00,6h 30m,1 stop,No info,82.335
4383,Jet Airways,Delhi,Cochin,6/06/2019,13:00,15h 25m,1 stop,In-flight meal not included,112.882
4384,Vistara,Banglore,New Delhi,21/03/2019,09:50,2h 45m,non-stop,No info,53.658
4385,Multiple carriers,Delhi,Cochin,12/06/2019,19:00,6h 30m,1 stop,No info,79.178
4386,Jet Airways,Banglore,New Delhi,06/03/2019,16:55,16h 5m,1 stop,No info,189.871
4387,Jet Airways,Kolkata,Banglore,12/06/2019,20:00,12h 15m,1 stop,No info,143.484
4388,Jet Airways,Delhi,Cochin,27/06/2019,17:30,25h 30m,1 stop,In-flight meal not included,112.882
4389,Multiple carriers,Delhi,Cochin,15/06/2019,06:40,12h 35m,1 stop,No info,94.754
4390,Jet Airways,Delhi,Cochin,27/03/2019,16:00,27h 45m,1 stop,No info,132.352
4391,Jet Airways,Banglore,New Delhi,18/03/2019,07:00,6h 15m,1 stop,No info,135.124
4392,GoAir,Banglore,Delhi,27/05/2019,07:45,2h 55m,non-stop,No info,37.609
4393,IndiGo,Delhi,Cochin,21/03/2019,16:10,6h 10m,1 stop,No info,71.808
4394,Vistara,Banglore,New Delhi,24/03/2019,07:00,2h 40m,non-stop,No info,59.433
4395,Jet Airways,Delhi,Cochin,27/05/2019,11:30,7h 30m,1 stop,In-flight meal not included,107.052
4396,IndiGo,Delhi,Cochin,15/04/2019,06:50,5h 20m,1 stop,No info,63.371
4397,Air India,Kolkata,Banglore,6/06/2019,07:00,22h 25m,2 stops,No info,132.099
4398,Jet Airways,Kolkata,Banglore,18/05/2019,05:45,26h 30m,1 stop,In-flight meal not included,94.446
4399,Jet Airways,Banglore,Delhi,24/05/2019,17:45,3h,non-stop,In-flight meal not included,67.584
4400,SpiceJet,Banglore,Delhi,24/05/2019,05:55,2h 40m,non-stop,No check-in baggage included,35.827
4401,Multiple carriers,Delhi,Cochin,9/05/2019,17:45,7h 45m,1 stop,No info,99.231
4402,Jet Airways,Delhi,Cochin,3/06/2019,11:30,25h 5m,1 stop,In-flight meal not included,112.882
4403,Air India,Mumbai,Hyderabad,6/03/2019,05:30,9h 20m,2 stops,No info,151.327
4404,IndiGo,Delhi,Cochin,15/03/2019,14:30,3h 5m,non-stop,No info,64.845
4405,Jet Airways,Kolkata,Banglore,21/05/2019,18:55,9h 45m,1 stop,In-flight meal not included,106.293
4406,Air India,Delhi,Cochin,9/05/2019,05:15,25h 35m,1 stop,No info,72.457
4407,SpiceJet,Banglore,Delhi,6/05/2019,05:55,2h 40m,non-stop,No info,36.421
4408,SpiceJet,Delhi,Cochin,18/05/2019,06:05,5h 15m,1 stop,No info,69.267
4409,Jet Airways,Kolkata,Banglore,12/05/2019,18:55,24h 55m,1 stop,In-flight meal not included,119.284
4410,IndiGo,Mumbai,Hyderabad,27/05/2019,09:10,1h 30m,non-stop,No info,44.539
4411,Air India,Banglore,Delhi,3/06/2019,13:20,2h 50m,non-stop,No info,76.571
4412,SpiceJet,Chennai,Kolkata,27/03/2019,08:20,2h 15m,non-stop,No info,37.224
4413,Jet Airways,Delhi,Cochin,9/05/2019,09:40,26h 55m,2 stops,In-flight meal not included,143.319
4414,SpiceJet,Chennai,Kolkata,6/05/2019,08:20,2h 15m,non-stop,No check-in baggage included,42.449
4415,Air India,Delhi,Cochin,12/06/2019,18:45,24h 30m,2 stops,No info,129.052
4416,Multiple carriers,Delhi,Cochin,6/06/2019,08:45,10h 15m,1 stop,No info,137.764
4417,Jet Airways,Banglore,New Delhi,18/03/2019,07:00,5h 25m,1 stop,No info,135.124
4418,Jet Airways,Delhi,Cochin,15/06/2019,02:15,10h 20m,1 stop,In-flight meal not included,112.882
4419,Jet Airways,Delhi,Cochin,24/06/2019,05:30,7h 5m,2 stops,In-flight meal not included,146.784
4420,Jet Airways,Banglore,Delhi,18/04/2019,17:45,3h,non-stop,No info,79.519
4421,Air India,Kolkata,Banglore,12/06/2019,09:50,23h 5m,2 stops,No info,164.56
4422,Air India,Delhi,Cochin,12/06/2019,06:50,24h 50m,2 stops,No info,147.191
4423,Multiple carriers,Delhi,Cochin,6/03/2019,12:50,12h 45m,1 stop,No info,166.617
4424,Jet Airways,Kolkata,Banglore,6/05/2019,06:30,22h 10m,1 stop,In-flight meal not included,94.446
4425,IndiGo,Delhi,Cochin,6/05/2019,14:20,8h 10m,1 stop,No info,77.594
4426,Air Asia,Kolkata,Banglore,18/03/2019,22:50,2h 30m,non-stop,No info,44.902
4427,Jet Airways,Delhi,Cochin,21/05/2019,09:40,9h 20m,2 stops,In-flight meal not included,143.319
4428,Jet Airways,Kolkata,Banglore,1/04/2019,16:30,6h 5m,1 stop,In-flight meal not included,77.704
4429,Air India,Banglore,New Delhi,21/03/2019,08:15,24h 35m,1 stop,No info,54.373
4430,Jet Airways,Banglore,Delhi,3/05/2019,07:10,3h,non-stop,No info,79.519
4431,Air India,Kolkata,Banglore,12/05/2019,09:50,11h 15m,1 stop,No info,92.95
4432,Jet Airways,Delhi,Cochin,9/05/2019,20:00,8h 25m,2 stops,In-flight meal not included,168.498
4433,IndiGo,Kolkata,Banglore,3/05/2019,21:25,2h 40m,non-stop,No info,52.844
4434,Jet Airways,Kolkata,Banglore,6/06/2019,20:00,20h 20m,1 stop,In-flight meal not included,119.284
4435,IndiGo,Mumbai,Hyderabad,1/04/2019,16:55,1h 30m,non-stop,No info,34.925
4436,Air India,Delhi,Cochin,27/06/2019,12:55,30h 20m,2 stops,No info,139.106
4437,Air India,Kolkata,Banglore,1/04/2019,20:30,15h 30m,1 stop,No info,86.823
4438,Air India,Banglore,Delhi,24/05/2019,17:00,2h 45m,non-stop,No info,78.881
4439,Multiple carriers,Delhi,Cochin,15/05/2019,14:00,7h,1 stop,No info,150.997
4440,Air India,Delhi,Cochin,27/06/2019,18:05,3h 5m,non-stop,No info,57.211
4441,Multiple carriers,Delhi,Cochin,15/05/2019,11:40,7h 35m,1 stop,No info,99.011
4442,IndiGo,Banglore,Delhi,15/05/2019,13:00,2h 50m,non-stop,No info,43.373
4443,Multiple carriers,Delhi,Cochin,9/05/2019,07:05,13h 55m,1 stop,In-flight meal not included,116.006
4444,Jet Airways,Delhi,Cochin,18/05/2019,19:15,23h 45m,1 stop,No info,171.094
4445,Air India,Banglore,Delhi,15/04/2019,06:10,2h 45m,non-stop,No info,57.508
4446,Air India,Delhi,Cochin,24/06/2019,09:00,10h 15m,1 stop,No info,103.444
4447,Multiple carriers,Delhi,Cochin,21/03/2019,09:10,10h 5m,1 stop,No info,94.611
4448,Multiple carriers,Delhi,Cochin,9/05/2019,09:45,12h 45m,1 stop,No info,97.768
4449,Vistara,Banglore,New Delhi,24/03/2019,16:00,2h 35m,non-stop,No info,55.968
4450,IndiGo,Banglore,Delhi,9/05/2019,10:10,2h 50m,non-stop,No info,43.373
4451,Jet Airways,Delhi,Cochin,9/05/2019,21:50,14h 45m,1 stop,In-flight meal not included,136.103
4452,Multiple carriers,Delhi,Cochin,9/04/2019,06:00,7h 20m,1 stop,No info,91.553
4453,Jet Airways,Delhi,Cochin,27/06/2019,13:25,23h 10m,2 stops,No info,168.729
4454,Vistara,Chennai,Kolkata,6/05/2019,17:45,2h 20m,non-stop,No info,131.802
4455,SpiceJet,Kolkata,Banglore,12/05/2019,15:55,5h 30m,1 stop,No info,97.284
4456,Jet Airways,Delhi,Cochin,1/06/2019,22:50,13h 45m,1 stop,In-flight meal not included,112.882
4457,IndiGo,Chennai,Kolkata,6/06/2019,13:15,2h 20m,non-stop,No info,39.567
4458,Jet Airways,Mumbai,Hyderabad,24/03/2019,10:20,1h 30m,non-stop,No info,62.458
4459,IndiGo,Chennai,Kolkata,21/05/2019,22:05,2h 20m,non-stop,No info,58.047
4460,IndiGo,Banglore,Delhi,27/06/2019,07:10,2h 55m,non-stop,No info,53.053
4461,IndiGo,Delhi,Cochin,3/03/2019,08:35,12h 45m,2 stops,No info,88.539
4462,SpiceJet,Chennai,Kolkata,15/05/2019,17:45,2h 20m,non-stop,No check-in baggage included,38.973
4463,Jet Airways,Delhi,Cochin,6/06/2019,18:15,24h 45m,1 stop,In-flight meal not included,112.882
4464,Air India,Delhi,Cochin,1/06/2019,05:15,38h,3 stops,No info,117.733
4465,IndiGo,Delhi,Cochin,12/06/2019,05:10,4h 55m,1 stop,No info,71.456
4466,Jet Airways,Kolkata,Banglore,21/05/2019,06:30,11h 45m,1 stop,In-flight meal not included,119.284
4467,Jet Airways,Delhi,Cochin,27/03/2019,07:05,11h 45m,1 stop,No info,132.352
4468,Vistara,Delhi,Cochin,18/04/2019,06:00,3h 10m,non-stop,No info,74.151
4469,IndiGo,Banglore,Delhi,9/05/2019,04:00,2h 50m,non-stop,No info,43.373
4470,SpiceJet,Kolkata,Banglore,24/05/2019,06:55,2h 35m,non-stop,No check-in baggage included,42.251
4471,Multiple carriers,Delhi,Cochin,3/03/2019,19:00,6h 35m,1 stop,No info,168.168
4472,Air India,Mumbai,Hyderabad,18/03/2019,21:05,1h 20m,non-stop,No info,22.55
4473,Vistara,Chennai,Kolkata,24/03/2019,07:05,2h 15m,non-stop,No info,53.262
4474,Jet Airways,Delhi,Cochin,21/03/2019,19:10,23h 40m,2 stops,In-flight meal not included,73.073
4475,IndiGo,Delhi,Cochin,3/03/2019,05:05,5h,1 stop,No info,105.391
4476,IndiGo,Kolkata,Banglore,15/05/2019,21:25,2h 40m,non-stop,No info,52.844
4477,Jet Airways,Banglore,New Delhi,21/03/2019,08:00,23h 40m,1 stop,In-flight meal not included,86.152
4478,Multiple carriers,Delhi,Cochin,12/06/2019,07:05,12h 10m,1 stop,In-flight meal not included,128.337
4479,IndiGo,Delhi,Cochin,27/06/2019,08:35,7h 35m,1 stop,No info,70.862
4480,Jet Airways,Delhi,Cochin,24/05/2019,23:05,29h 20m,2 stops,No info,166.419
4481,Jet Airways,Banglore,Delhi,3/04/2019,11:10,2h 55m,non-stop,In-flight meal not included,49.984
4482,Jet Airways,Kolkata,Banglore,15/05/2019,20:00,13h 20m,1 stop,In-flight meal not included,106.293
4483,Jet Airways,Delhi,Cochin,3/06/2019,16:00,12h 25m,1 stop,No info,161.854
4484,Air India,Mumbai,Hyderabad,27/05/2019,06:20,1h 20m,non-stop,No info,34.1
4485,Jet Airways,Kolkata,Banglore,6/05/2019,16:30,28h 15m,1 stop,In-flight meal not included,106.293
4486,IndiGo,Delhi,Cochin,21/03/2019,06:40,5h 20m,1 stop,No info,63.371
4487,Air India,Mumbai,Hyderabad,9/05/2019,21:05,1h 20m,non-stop,No info,34.1
4488,Jet Airways,Kolkata,Banglore,12/06/2019,16:30,7h 5m,1 stop,No info,149.886
4489,Jet Airways,Mumbai,Hyderabad,24/03/2019,19:35,1h 30m,non-stop,No info,62.458
4490,Jet Airways,Kolkata,Banglore,12/06/2019,18:55,23h 20m,1 stop,In-flight meal not included,93.819
4491,Air India,Delhi,Cochin,9/05/2019,05:10,2h 50m,non-stop,No info,57.211
4492,Jet Airways,Kolkata,Banglore,21/05/2019,09:35,11h 30m,1 stop,No info,155.661
4493,Air Asia,Banglore,Delhi,3/05/2019,11:10,2h 45m,non-stop,No info,49.313
4494,IndiGo,Kolkata,Banglore,6/04/2019,22:15,2h 35m,non-stop,No info,45.914
4495,Jet Airways,Delhi,Cochin,18/05/2019,05:30,7h 5m,2 stops,In-flight meal not included,170.984
4496,IndiGo,Delhi,Cochin,27/05/2019,21:05,3h 15m,non-stop,No info,61.611
4497,IndiGo,Banglore,Delhi,3/04/2019,01:30,2h 45m,non-stop,No info,37.609
4498,Air Asia,Delhi,Cochin,27/04/2019,07:55,14h 30m,1 stop,No info,70.961
4499,Air India,Kolkata,Banglore,12/05/2019,09:25,28h 20m,2 stops,No info,138.512
4500,Air India,Banglore,Delhi,24/06/2019,21:05,2h 50m,non-stop,No info,76.571
4501,SpiceJet,Kolkata,Banglore,12/06/2019,17:10,2h 30m,non-stop,No info,45.914
4502,Jet Airways,Kolkata,Banglore,24/03/2019,06:30,9h 50m,1 stop,In-flight meal not included,97.064
4503,SpiceJet,Delhi,Cochin,15/05/2019,15:45,6h 20m,1 stop,No info,87.417
4504,Multiple carriers,Delhi,Cochin,27/06/2019,14:00,7h,1 stop,No info,149.457
4505,SpiceJet,Kolkata,Banglore,15/06/2019,06:55,2h 35m,non-stop,No check-in baggage included,42.251
4506,IndiGo,Kolkata,Banglore,21/06/2019,21:25,2h 40m,non-stop,No info,52.844
4507,Jet Airways,Kolkata,Banglore,9/05/2019,20:00,8h 40m,1 stop,In-flight meal not included,94.446
4508,IndiGo,Kolkata,Banglore,1/03/2019,20:25,2h 40m,non-stop,No info,52.558
4509,Multiple carriers,Delhi,Cochin,1/06/2019,15:05,10h 25m,2 stops,No info,201.025
4510,IndiGo,Chennai,Kolkata,1/06/2019,05:15,2h 25m,non-stop,No info,38.94
4511,IndiGo,Delhi,Cochin,27/06/2019,08:35,13h 55m,1 stop,No info,70.862
4512,Air India,Kolkata,Banglore,27/06/2019,20:45,2h 35m,non-stop,No info,45.595
4513,IndiGo,Kolkata,Banglore,9/06/2019,14:25,2h 30m,non-stop,No info,62.084
4514,IndiGo,Kolkata,Banglore,3/05/2019,14:25,2h 30m,non-stop,No info,57.464
4515,Jet Airways,Delhi,Cochin,21/03/2019,17:30,25h 20m,1 stop,In-flight meal not included,65.593
4516,Multiple carriers,Delhi,Cochin,27/05/2019,06:00,13h,1 stop,No info,123.904
4517,GoAir,Delhi,Cochin,27/03/2019,14:10,5h 10m,1 stop,No info,112.068
4518,Jet Airways,Kolkata,Banglore,18/05/2019,20:00,13h 20m,1 stop,In-flight meal not included,119.284
4519,IndiGo,Banglore,New Delhi,15/03/2019,13:40,4h 55m,1 stop,No info,78.826
4520,Jet Airways,Banglore,New Delhi,12/03/2019,22:55,10h 35m,1 stop,No info,151.987
4521,Jet Airways,Delhi,Cochin,9/05/2019,18:15,18h 20m,1 stop,In-flight meal not included,136.103
4522,Jet Airways,Banglore,New Delhi,01/03/2019,16:55,16h 5m,1 stop,1 Long layover,283.085
4523,Jet Airways,Banglore,New Delhi,18/03/2019,11:40,7h 30m,1 stop,No info,162.965
4524,Jet Airways,Delhi,Cochin,12/06/2019,11:30,25h 5m,1 stop,In-flight meal not included,112.882
4525,Jet Airways,Delhi,Cochin,15/06/2019,08:00,11h,1 stop,In-flight meal not included,112.882
4526,Air India,Delhi,Cochin,9/06/2019,17:40,14h 35m,1 stop,No info,82.148
4527,Jet Airways,Mumbai,Hyderabad,9/05/2019,07:05,1h 25m,non-stop,No info,88.44
4528,Jet Airways,Delhi,Cochin,24/06/2019,23:05,19h 55m,2 stops,No info,141.009
4529,IndiGo,Chennai,Kolkata,6/03/2019,14:40,2h 25m,non-stop,No info,80.245
4530,Jet Airways,Banglore,Delhi,27/05/2019,15:15,2h 55m,non-stop,No info,79.519
4531,Air Asia,Delhi,Cochin,15/06/2019,16:45,5h 40m,1 stop,No info,75.383
4532,Jet Airways,Kolkata,Banglore,24/05/2019,21:10,12h 10m,1 stop,In-flight meal not included,106.293
4533,Jet Airways,Kolkata,Banglore,1/04/2019,06:30,11h 45m,1 stop,In-flight meal not included,77.704
4534,Air India,Delhi,Cochin,6/06/2019,09:00,10h 15m,1 stop,No info,92.092
4535,SpiceJet,Mumbai,Hyderabad,3/06/2019,13:15,1h 30m,non-stop,No check-in baggage included,21.615
4536,Vistara,Kolkata,Banglore,24/03/2019,07:10,11h 35m,1 stop,No info,186.252
4537,SpiceJet,Kolkata,Banglore,18/06/2019,22:20,2h 20m,non-stop,No check-in baggage included,42.251
4538,Jet Airways,Delhi,Cochin,12/06/2019,11:40,7h 20m,2 stops,In-flight meal not included,173.932
4539,Air India,Banglore,New Delhi,03/03/2019,06:55,6h 25m,1 stop,No info,120.164
4540,Air India,Delhi,Cochin,27/05/2019,14:10,3h,non-stop,No info,76.274
4541,Jet Airways,Delhi,Cochin,1/06/2019,08:00,11h,1 stop,In-flight meal not included,112.882
4542,Jet Airways,Delhi,Cochin,6/03/2019,13:55,14h 30m,1 stop,In-flight meal not included,152.273
4543,Multiple carriers,Delhi,Cochin,15/05/2019,06:40,12h 20m,1 stop,No info,102.465
4544,Multiple carriers,Delhi,Cochin,21/05/2019,06:00,13h 15m,1 stop,No info,90.926
4545,Jet Airways,Kolkata,Banglore,24/03/2019,21:10,11h,1 stop,No info,156.541
4546,GoAir,Banglore,Delhi,18/04/2019,20:55,2h 45m,non-stop,No info,55.528
4547,Jet Airways,Delhi,Cochin,6/06/2019,17:30,25h 30m,1 stop,In-flight meal not included,112.882
4548,Multiple carriers,Delhi,Cochin,27/03/2019,09:00,12h,1 stop,No info,137.907
4549,Jet Airways,Delhi,Cochin,15/06/2019,13:00,15h 25m,1 stop,In-flight meal not included,112.882
4550,Jet Airways,Mumbai,Hyderabad,3/04/2019,07:05,1h 25m,non-stop,No info,88.44
4551,SpiceJet,Kolkata,Banglore,6/05/2019,11:15,7h 15m,1 stop,No info,107.096
4552,IndiGo,Kolkata,Banglore,6/05/2019,04:40,2h 35m,non-stop,No info,52.844
4553,Jet Airways,Banglore,New Delhi,12/03/2019,16:55,16h 35m,1 stop,No info,151.987
4554,GoAir,Banglore,Delhi,21/05/2019,07:45,2h 55m,non-stop,No info,55.528
4555,Jet Airways,Mumbai,Hyderabad,1/04/2019,10:20,1h 30m,non-stop,No info,88.44
4556,Multiple carriers,Delhi,Cochin,12/06/2019,08:30,10h 45m,1 stop,No info,80.894
4557,Multiple carriers,Delhi,Cochin,6/03/2019,14:35,7h 45m,1 stop,In-flight meal not included,83.193
4558,IndiGo,Delhi,Cochin,3/03/2019,10:45,4h 45m,1 stop,No info,84.975
4559,Multiple carriers,Delhi,Cochin,1/06/2019,08:45,12h 15m,1 stop,No info,85.14
4560,Air India,Kolkata,Banglore,12/06/2019,10:00,19h 25m,2 stops,No info,148.852
4561,IndiGo,Kolkata,Banglore,1/03/2019,14:20,2h 35m,non-stop,No info,72.215
4562,Jet Airways,Kolkata,Banglore,12/05/2019,16:30,27h 20m,1 stop,In-flight meal not included,119.284
4563,SpiceJet,Kolkata,Banglore,18/04/2019,22:20,2h 20m,non-stop,No check-in baggage included,42.251
4564,Multiple carriers,Delhi,Cochin,3/06/2019,08:30,10h 30m,1 stop,No info,123.2
4565,Air India,Kolkata,Banglore,1/04/2019,09:25,25h 5m,2 stops,No info,132.099
4566,Air India,Delhi,Cochin,15/05/2019,08:00,11h 15m,1 stop,No info,92.092
4567,Air India,Delhi,Cochin,15/06/2019,06:50,24h 50m,2 stops,No info,149.501
4568,Vistara,Mumbai,Hyderabad,6/03/2019,20:55,19h 50m,1 stop,No info,136.345
4569,SpiceJet,Chennai,Kolkata,1/03/2019,08:20,2h 15m,non-stop,No info,80.278
4570,IndiGo,Delhi,Cochin,3/03/2019,07:20,5h 10m,1 stop,No info,134.354
4571,Jet Airways,Kolkata,Banglore,15/05/2019,17:00,29h 5m,1 stop,No info,155.661
4572,Air India,Delhi,Cochin,1/06/2019,17:15,26h,2 stops,No info,142.67
4573,Jet Airways,Kolkata,Banglore,1/05/2019,14:05,9h 30m,1 stop,No info,162.591
4574,Vistara,Banglore,Delhi,6/06/2019,17:00,2h 35m,non-stop,No info,53.658
4575,SpiceJet,Chennai,Kolkata,3/05/2019,08:20,2h 15m,non-stop,No info,39.567
4576,Air Asia,Kolkata,Banglore,6/06/2019,07:35,15h 55m,1 stop,No info,74.91
4577,Vistara,Chennai,Kolkata,1/05/2019,07:05,2h 15m,non-stop,No info,40.557
4578,Air India,Delhi,Cochin,21/03/2019,17:20,16h 5m,1 stop,No info,71.302
4579,Jet Airways,Mumbai,Hyderabad,6/03/2019,17:00,23h 50m,1 stop,No info,215.545
4580,IndiGo,Delhi,Cochin,15/06/2019,15:10,4h 50m,1 stop,No info,67.617
4581,Jet Airways,Kolkata,Banglore,6/05/2019,17:00,16h 45m,1 stop,No info,120.483
4582,SpiceJet,Kolkata,Banglore,24/04/2019,22:20,2h 20m,non-stop,No info,42.603
4583,Jet Airways,Banglore,New Delhi,06/03/2019,14:05,15h,1 stop,No info,162.965
4584,Multiple carriers,Delhi,Cochin,6/06/2019,04:55,14h 5m,1 stop,No info,117.458
4585,Jet Airways,Delhi,Cochin,9/03/2019,15:05,13h 20m,1 stop,In-flight meal not included,154.583
4586,Jet Airways,Kolkata,Banglore,12/06/2019,09:35,12h 30m,1 stop,In-flight meal not included,115.929
4587,Jet Airways,Banglore,New Delhi,18/03/2019,14:05,7h 15m,1 stop,No info,186.406
4588,IndiGo,Delhi,Cochin,3/03/2019,14:30,3h 5m,non-stop,No info,84.403
4589,Air India,Banglore,New Delhi,24/03/2019,13:20,2h 50m,non-stop,No info,48.851
4590,Jet Airways,Banglore,Delhi,15/04/2019,11:10,2h 55m,non-stop,In-flight meal not included,49.984
4591,IndiGo,Kolkata,Banglore,24/04/2019,15:30,2h 35m,non-stop,No info,52.844
4592,Jet Airways,Delhi,Cochin,1/04/2019,09:00,27h 35m,1 stop,In-flight meal not included,59.466
4593,Air India,Mumbai,Hyderabad,3/04/2019,06:20,1h 20m,non-stop,No info,34.1
4594,Jet Airways,Delhi,Cochin,27/06/2019,23:05,19h 55m,2 stops,In-flight meal not included,122.65
4595,IndiGo,Banglore,Delhi,6/04/2019,16:55,3h,non-stop,No info,53.053
4596,SpiceJet,Mumbai,Hyderabad,3/05/2019,05:45,1h 30m,non-stop,No check-in baggage included,21.615
4597,Jet Airways,Delhi,Cochin,24/06/2019,21:50,14h 45m,1 stop,In-flight meal not included,112.882
4598,IndiGo,Delhi,Cochin,6/06/2019,07:35,8h 35m,1 stop,No info,73.414
4599,Jet Airways,Delhi,Cochin,6/03/2019,09:00,19h 25m,1 stop,No info,173.404
4600,Jet Airways,Kolkata,Banglore,1/04/2019,20:00,26h 35m,1 stop,In-flight meal not included,77.704
